city,country,year,city_temp,global_temp,city_temp_10 year MA,global_temp_10 year MA,Difference
Houston,United States,1820,19.11,7.62,,,
Houston,United States,1821,19.57,8.09,,,
Houston,United States,1822,20.05,8.19,,,
Houston,United States,1823,19.62,7.72,,,
Houston,United States,1824,20.19,8.55,,,
Houston,United States,1825,20.44,8.39,,,
Houston,United States,1826,20.17,8.36,,,
Houston,United States,1827,20.83,8.81,,,
Houston,United States,1828,20.41,8.17,,,
Houston,United States,1829,20,7.94,20.039,8.184,11.855
Houston,United States,1830,20.72,8.52,20.2,8.274,11.926
Houston,United States,1831,19.25,7.64,20.168,8.229,11.939
Houston,United States,1832,19.89,7.45,20.152,8.155,11.997
Houston,United States,1833,20.32,8.01,20.222,8.184,12.038
Houston,United States,1834,20.56,8.15,20.259,8.144,12.115
Houston,United States,1835,18.62,7.39,20.077,8.044,12.033
Houston,United States,1836,19.01,7.7,19.961,7.978,11.983
Houston,United States,1837,19.68,7.38,19.846,7.835,12.011
Houston,United States,1838,18.77,7.51,19.682,7.769,11.913
Houston,United States,1839,19.68,7.63,19.65,7.738,11.912
Houston,United States,1840,19.85,7.8,19.563,7.666,11.897
Houston,United States,1841,19.88,7.69,19.626,7.671,11.955
Houston,United States,1842,20.12,8.02,19.649,7.728,11.921
Houston,United States,1843,19.84,8.17,19.601,7.744,11.857
Houston,United States,1844,20.05,7.65,19.55,7.694,11.856
Houston,United States,1845,19.68,7.85,19.656,7.74,11.916
Houston,United States,1846,20.24,8.55,19.779,7.825,11.954
Houston,United States,1847,19.45,8.09,19.756,7.896,11.86
Houston,United States,1848,19.7,7.98,19.849,7.943,11.906
Houston,United States,1849,20.35,7.98,19.916,7.978,11.938
Houston,United States,1850,20.14,7.9,19.945,7.988,11.957
Houston,United States,1851,20.03,8.18,19.96,8.037,11.923
Houston,United States,1852,19.81,8.1,19.929,8.045,11.884
Houston,United States,1853,19.22,8.04,19.867,8.032,11.835
Houston,United States,1854,19.87,8.21,19.849,8.088,11.761
Houston,United States,1855,19.55,8.11,19.836,8.114,11.722
Houston,United States,1856,19.15,8,19.727,8.059,11.668
Houston,United States,1857,19.52,7.76,19.734,8.026,11.708
Houston,United States,1858,19.99,8.1,19.763,8.038,11.725
Houston,United States,1859,20.22,8.25,19.75,8.065,11.685
Houston,United States,1860,20.31,7.96,19.767,8.071,11.696
Houston,United States,1861,20.47,7.85,19.811,8.038,11.773
Houston,United States,1862,20.53,7.56,19.883,7.984,11.899
Houston,United States,1863,20.01,8.11,19.962,7.991,11.971
Houston,United States,1864,19.55,7.98,19.93,7.968,11.962
Houston,United States,1865,20.15,8.18,19.99,7.975,12.015
Houston,United States,1866,20.01,8.29,20.076,8.004,12.072
Houston,United States,1867,20.75,8.44,20.199,8.072,12.127
Houston,United States,1868,19.8,8.25,20.18,8.087,12.093
Houston,United States,1869,19.45,8.43,20.103,8.105,11.998
Houston,United States,1870,19.95,8.2,20.067,8.129,11.938
Houston,United States,1871,20.44,8.12,20.064,8.156,11.908
Houston,United States,1872,19.71,8.19,19.982,8.219,11.763
Houston,United States,1873,19.67,8.35,19.948,8.243,11.705
Houston,United States,1874,20.37,8.43,20.03,8.288,11.742
Houston,United States,1875,19.81,7.86,19.996,8.256,11.74
Houston,United States,1876,19.9,8.08,19.985,8.235,11.75
Houston,United States,1877,19.6,8.54,19.87,8.245,11.625
Houston,United States,1878,20.04,8.83,19.894,8.303,11.591
Houston,United States,1879,20.48,8.17,19.997,8.277,11.72
Houston,United States,1880,19.82,8.12,19.984,8.269,11.715
Houston,United States,1881,20.14,8.27,19.954,8.284,11.67
Houston,United States,1882,20.47,8.13,20.03,8.278,11.752
Houston,United States,1883,20.26,7.98,20.089,8.241,11.848
Houston,United States,1884,19.92,7.77,20.044,8.175,11.869
Houston,United States,1885,19.51,7.92,20.014,8.181,11.833
Houston,United States,1886,19.25,7.95,19.949,8.168,11.781
Houston,United States,1887,19.97,7.91,19.986,8.105,11.881
Houston,United States,1888,19.58,8.09,19.94,8.031,11.909
Houston,United States,1889,19.79,8.32,19.871,8.046,11.825
Houston,United States,1890,20.6,7.97,19.949,8.031,11.918
Houston,United States,1891,19.65,8.02,19.9,8.006,11.894
Houston,United States,1892,19.82,8.07,19.835,8,11.835
Houston,United States,1893,20.14,8.06,19.823,8.008,11.815
Houston,United States,1894,20.16,8.16,19.847,8.047,11.8
Houston,United States,1895,19.26,8.15,19.822,8.07,11.752
Houston,United States,1896,20.48,8.21,19.945,8.096,11.849
Houston,United States,1897,20.29,8.29,19.977,8.134,11.843
Houston,United States,1898,19.62,8.18,19.981,8.143,11.838
Houston,United States,1899,19.73,8.4,19.975,8.151,11.824
Houston,United States,1900,20.04,8.5,19.919,8.204,11.715
Houston,United States,1901,19.87,8.54,19.941,8.256,11.685
Houston,United States,1902,20.34,8.3,19.993,8.279,11.714
Houston,United States,1903,19.04,8.22,19.883,8.295,11.588
Houston,United States,1904,20.05,8.09,19.872,8.288,11.584
Houston,United States,1905,19.67,8.23,19.913,8.296,11.617
